INSERT ALL 
 INTO PSE1.DownloadsVALUES ('1', '25-06-2018', '617', '155') 
 INTO PSE1.DownloadsVALUES ('2', '20-01-2019', '584', '543') 
 INTO PSE1.DownloadsVALUES ('3', '31-01-2019', '139', '337') 
 INTO PSE1.DownloadsVALUES ('4', '26-04-2019', '837', '125') 
 INTO PSE1.DownloadsVALUES ('5', '04-05-2018', '779', '122') 
 INTO PSE1.DownloadsVALUES ('6', '27-02-2019', '144', '305') 
 INTO PSE1.DownloadsVALUES ('7', '23-09-2019', '373', '280') 
 INTO PSE1.DownloadsVALUES ('8', '27-06-2019', '552', '569') 
 INTO PSE1.DownloadsVALUES ('9', '26-04-2018', '146', '600') 
 INTO PSE1.DownloadsVALUES ('10', '18-03-2019', '583', '336') 
 INTO PSE1.DownloadsVALUES ('11', '02-08-2019', '414', '467') 
 INTO PSE1.DownloadsVALUES ('12', '14-11-2018', '116', '341') 
 INTO PSE1.DownloadsVALUES ('13', '18-08-2018', '53', '321') 
 INTO PSE1.DownloadsVALUES ('14', '03-08-2019', '88', '484') 
 INTO PSE1.DownloadsVALUES ('15', '26-01-2018', '527', '75') 
 INTO PSE1.DownloadsVALUES ('16', '06-08-2018', '65', '273') 
 INTO PSE1.DownloadsVALUES ('17', '25-01-2018', '511', '303') 
 INTO PSE1.DownloadsVALUES ('18', '29-09-2019', '929', '528') 
 INTO PSE1.DownloadsVALUES ('19', '20-08-2018', '880', '438') 
 INTO PSE1.DownloadsVALUES ('20', '28-05-2018', '739', '604') 
 INTO PSE1.DownloadsVALUES ('21', '11-11-2019', '679', '359') 
 INTO PSE1.DownloadsVALUES ('22', '10-05-2019', '866', '370') 
 INTO PSE1.DownloadsVALUES ('23', '15-07-2019', '568', '560') 
 INTO PSE1.DownloadsVALUES ('24', '19-06-2019', '5', '623') 
 INTO PSE1.DownloadsVALUES ('25', '17-11-2019', '424', '202') 
 INTO PSE1.DownloadsVALUES ('26', '07-06-2018', '824', '621') 
 INTO PSE1.DownloadsVALUES ('27', '17-02-2018', '380', '552') 
 INTO PSE1.DownloadsVALUES ('28', '07-06-2019', '295', '417') 
 INTO PSE1.DownloadsVALUES ('29', '02-07-2019', '376', '565') 
 INTO PSE1.DownloadsVALUES ('30', '13-11-2018', '4', '376') 
 INTO PSE1.DownloadsVALUES ('31', '07-12-2018', '731', '30') 
 INTO PSE1.DownloadsVALUES ('32', '18-05-2019', '279', '51') 
 INTO PSE1.DownloadsVALUES ('33', '28-02-2019', '508', '212') 
 INTO PSE1.DownloadsVALUES ('34', '31-08-2019', '644', '172') 
 INTO PSE1.DownloadsVALUES ('35', '28-05-2019', '75', '470') 
 INTO PSE1.DownloadsVALUES ('36', '25-02-2018', '46', '130') 
 INTO PSE1.DownloadsVALUES ('37', '08-06-2018', '405', '92') 
 INTO PSE1.DownloadsVALUES ('38', '02-09-2018', '813', '571') 
 INTO PSE1.DownloadsVALUES ('39', '12-06-2019', '684', '234') 
 INTO PSE1.DownloadsVALUES ('40', '11-02-2018', '14', '546') 
 INTO PSE1.DownloadsVALUES ('41', '16-12-2018', '789', '21') 
 INTO PSE1.DownloadsVALUES ('42', '24-05-2018', '288', '55') 
 INTO PSE1.DownloadsVALUES ('43', '05-12-2018', '852', '45') 
 INTO PSE1.DownloadsVALUES ('44', '11-04-2018', '818', '326') 
 INTO PSE1.DownloadsVALUES ('45', '11-06-2019', '5', '436') 
 INTO PSE1.DownloadsVALUES ('46', '05-07-2018', '609', '606') 
 INTO PSE1.DownloadsVALUES ('47', '02-02-2019', '501', '159') 
 INTO PSE1.DownloadsVALUES ('48', '08-03-2019', '216', '564') 
 INTO PSE1.DownloadsVALUES ('49', '07-04-2019', '597', '105') 
 INTO PSE1.DownloadsVALUES ('50', '30-05-2018', '451', '488') 
 INTO PSE1.DownloadsVALUES ('51', '16-11-2018', '965', '287') 
 INTO PSE1.DownloadsVALUES ('52', '21-01-2018', '469', '65') 
 INTO PSE1.DownloadsVALUES ('53', '23-01-2018', '940', '146') 
 INTO PSE1.DownloadsVALUES ('54', '15-12-2019', '637', '623') 
 INTO PSE1.DownloadsVALUES ('55', '15-10-2018', '811', '118') 
 INTO PSE1.DownloadsVALUES ('56', '27-06-2018', '769', '151') 
 INTO PSE1.DownloadsVALUES ('57', '12-08-2018', '481', '64') 
 INTO PSE1.DownloadsVALUES ('58', '14-11-2019', '768', '132') 
 INTO PSE1.DownloadsVALUES ('59', '20-12-2018', '50', '615') 
 INTO PSE1.DownloadsVALUES ('60', '20-11-2019', '114', '145') 
 INTO PSE1.DownloadsVALUES ('61', '15-11-2018', '454', '350') 
 INTO PSE1.DownloadsVALUES ('62', '10-10-2018', '135', '42') 
 INTO PSE1.DownloadsVALUES ('63', '13-05-2018', '390', '245') 
 INTO PSE1.DownloadsVALUES ('64', '22-11-2018', '728', '134') 
 INTO PSE1.DownloadsVALUES ('65', '25-07-2019', '601', '372') 
 INTO PSE1.DownloadsVALUES ('66', '23-03-2019', '388', '27') 
 INTO PSE1.DownloadsVALUES ('67', '20-01-2018', '620', '379') 
 INTO PSE1.DownloadsVALUES ('68', '26-12-2018', '371', '297') 
 INTO PSE1.DownloadsVALUES ('69', '22-09-2018', '573', '354') 
 INTO PSE1.DownloadsVALUES ('70', '03-09-2019', '661', '51') 
 INTO PSE1.DownloadsVALUES ('71', '20-02-2019', '953', '129') 
 INTO PSE1.DownloadsVALUES ('72', '28-01-2018', '811', '128') 
 INTO PSE1.DownloadsVALUES ('73', '09-08-2018', '798', '222') 
 INTO PSE1.DownloadsVALUES ('74', '10-05-2018', '576', '228') 
 INTO PSE1.DownloadsVALUES ('75', '11-10-2019', '796', '195') 
 INTO PSE1.DownloadsVALUES ('76', '05-02-2019', '598', '538') 
 INTO PSE1.DownloadsVALUES ('77', '21-04-2019', '872', '137') 
 INTO PSE1.DownloadsVALUES ('78', '15-07-2019', '119', '17') 
 INTO PSE1.DownloadsVALUES ('79', '22-10-2019', '338', '64') 
 INTO PSE1.DownloadsVALUES ('80', '26-05-2019', '54', '259') 
 INTO PSE1.DownloadsVALUES ('81', '10-02-2019', '924', '325') 
 INTO PSE1.DownloadsVALUES ('82', '01-12-2018', '598', '537') 
 INTO PSE1.DownloadsVALUES ('83', '01-02-2019', '95', '103') 
 INTO PSE1.DownloadsVALUES ('84', '24-04-2018', '807', '505') 
 INTO PSE1.DownloadsVALUES ('85', '23-05-2019', '187', '90') 
 INTO PSE1.DownloadsVALUES ('86', '30-07-2019', '199', '225') 
 INTO PSE1.DownloadsVALUES ('87', '07-04-2018', '89', '627') 
 INTO PSE1.DownloadsVALUES ('88', '09-10-2018', '38', '269') 
 INTO PSE1.DownloadsVALUES ('89', '15-09-2018', '500', '626') 
 INTO PSE1.DownloadsVALUES ('90', '16-11-2018', '183', '180') 
 INTO PSE1.DownloadsVALUES ('91', '30-01-2018', '830', '78') 
 INTO PSE1.DownloadsVALUES ('92', '02-06-2018', '590', '68') 
 INTO PSE1.DownloadsVALUES ('93', '30-06-2019', '554', '349') 
 INTO PSE1.DownloadsVALUES ('94', '22-10-2019', '266', '54') 
 INTO PSE1.DownloadsVALUES ('95', '25-10-2018', '293', '309') 
 INTO PSE1.DownloadsVALUES ('96', '02-08-2018', '382', '607') 
 INTO PSE1.DownloadsVALUES ('97', '13-06-2018', '77', '8') 
 INTO PSE1.DownloadsVALUES ('98', '10-09-2019', '921', '454') 
 INTO PSE1.DownloadsVALUES ('99', '26-07-2019', '509', '32') 
 INTO PSE1.DownloadsVALUES ('100', '27-01-2019', '395', '334') 
 INTO PSE1.DownloadsVALUES ('101', '01-05-2018', '23', '201') 
 INTO PSE1.DownloadsVALUES ('102', '01-03-2019', '388', '233') 
 INTO PSE1.DownloadsVALUES ('103', '25-05-2018', '408', '538') 
 INTO PSE1.DownloadsVALUES ('104', '14-05-2018', '443', '359') 
 INTO PSE1.DownloadsVALUES ('105', '04-08-2019', '279', '292') 
 INTO PSE1.DownloadsVALUES ('106', '13-06-2019', '67', '484') 
 INTO PSE1.DownloadsVALUES ('107', '09-04-2019', '344', '633') 
 INTO PSE1.DownloadsVALUES ('108', '07-01-2018', '25', '422') 
 INTO PSE1.DownloadsVALUES ('109', '21-02-2019', '524', '455') 
 INTO PSE1.DownloadsVALUES ('110', '11-04-2018', '612', '15') 
 INTO PSE1.DownloadsVALUES ('111', '21-12-2019', '881', '625') 
 INTO PSE1.DownloadsVALUES ('112', '25-02-2018', '350', '548') 
 INTO PSE1.DownloadsVALUES ('113', '07-11-2019', '50', '542') 
 INTO PSE1.DownloadsVALUES ('114', '01-09-2018', '393', '157') 
 INTO PSE1.DownloadsVALUES ('115', '25-05-2018', '254', '481') 
 INTO PSE1.DownloadsVALUES ('116', '10-11-2019', '383', '232') 
 INTO PSE1.DownloadsVALUES ('117', '16-07-2018', '782', '212') 
 INTO PSE1.DownloadsVALUES ('118', '27-09-2018', '175', '302') 
 INTO PSE1.DownloadsVALUES ('119', '11-09-2018', '606', '25') 
 INTO PSE1.DownloadsVALUES ('120', '29-10-2018', '466', '572') 
 INTO PSE1.DownloadsVALUES ('121', '23-04-2019', '576', '293') 
 INTO PSE1.DownloadsVALUES ('122', '09-01-2019', '159', '604') 
 INTO PSE1.DownloadsVALUES ('123', '05-12-2019', '335', '432') 
 INTO PSE1.DownloadsVALUES ('124', '24-02-2018', '9', '603') 
 INTO PSE1.DownloadsVALUES ('125', '18-01-2019', '277', '515') 
 INTO PSE1.DownloadsVALUES ('126', '10-11-2019', '823', '106') 
 INTO PSE1.DownloadsVALUES ('127', '23-10-2019', '282', '47') 
 INTO PSE1.DownloadsVALUES ('128', '26-05-2019', '843', '241') 
 INTO PSE1.DownloadsVALUES ('129', '28-05-2019', '194', '175') 
 INTO PSE1.DownloadsVALUES ('130', '18-12-2018', '462', '297') 
 INTO PSE1.DownloadsVALUES ('131', '12-02-2018', '140', '415') 
 INTO PSE1.DownloadsVALUES ('132', '24-04-2018', '576', '6') 
 INTO PSE1.DownloadsVALUES ('133', '16-08-2019', '517', '474') 
 INTO PSE1.DownloadsVALUES ('134', '28-03-2019', '885', '284') 
 INTO PSE1.DownloadsVALUES ('135', '17-12-2019', '819', '73') 
 INTO PSE1.DownloadsVALUES ('136', '07-10-2018', '460', '81') 
 INTO PSE1.DownloadsVALUES ('137', '26-07-2019', '501', '520') 
 INTO PSE1.DownloadsVALUES ('138', '11-04-2019', '106', '16') 
 INTO PSE1.DownloadsVALUES ('139', '27-08-2018', '520', '4') 
 INTO PSE1.DownloadsVALUES ('140', '21-02-2019', '549', '344') 
 INTO PSE1.DownloadsVALUES ('141', '25-07-2019', '717', '352') 
 INTO PSE1.DownloadsVALUES ('142', '19-05-2018', '327', '334') 
 INTO PSE1.DownloadsVALUES ('143', '26-01-2018', '914', '128') 
 INTO PSE1.DownloadsVALUES ('144', '30-01-2019', '566', '474') 
 INTO PSE1.DownloadsVALUES ('145', '12-10-2018', '420', '259') 
 INTO PSE1.DownloadsVALUES ('146', '19-11-2018', '145', '353') 
 INTO PSE1.DownloadsVALUES ('147', '31-03-2019', '404', '39') 
 INTO PSE1.DownloadsVALUES ('148', '08-12-2019', '652', '396') 
