INSERT ALL 
 INTO PSE1.Kunde VALUES ('0' , 'Samuel', 'Moore', 'Sixth Street', '83', '20472', 'Aachen', '02-07-2019', 'm', '6', '16-11-1956') 
 INTO PSE1.Kunde VALUES ('1' , 'Levi', 'Thompson', 'Lake Street', '57', '97128', 'Erfurt', '02-04-2019', 'm', '9', '21-07-1993') 
 INTO PSE1.Kunde VALUES ('2' , 'Ella', 'Hernandez', 'Park Street', '82', '53196', 'Mülheim an der Ruhr', '27-01-2019', 'f', '5', '28-06-1982') 
 INTO PSE1.Kunde VALUES ('3' , 'Levi', 'Anderson', 'Washington Street', '74', '99252', 'Cologne', '04-09-2019', 'f', '12', '10-02-2004') 
 INTO PSE1.Kunde VALUES ('4' , 'Aiden', 'Anderson', 'Elm Street', '71', '97169', 'Kiel', '05-01-2019', 'm', '7', '04-06-2004') 
 INTO PSE1.Kunde VALUES ('5' , 'Eliana', 'Walker', 'Fifth Street', '69', '49614', 'Leverkusen', '20-12-2019', 'f', '1', '15-11-2004') 
 INTO PSE1.Kunde VALUES ('6' , 'Ryan', 'Wilson', 'Lake Street', '2', '80707', 'Leipzig', '05-06-2019', 'm', '2', '29-09-1981') 
 INTO PSE1.Kunde VALUES ('7' , 'Ezra', 'Hall', 'Fourth Street', '45', '14206', 'Lübeck', '10-06-2019', 'm', '3', '29-09-1956') 
 INTO PSE1.Kunde VALUES ('8' , 'Luke', 'Lee', 'Eighth Street', '82', '28329', 'Hanover', '21-11-2019', 'f', '4', '12-06-1968') 
 INTO PSE1.Kunde VALUES ('9' , 'Aurora', 'Gonzalez', 'Park Street', '41', '41056', 'Leverkusen', '10-08-2019', 'f', '4', '18-08-1961') 
 INTO PSE1.Kunde VALUES ('10' , 'Elena', 'Brown', 'Park Street', '62', '11327', 'Essen', '22-10-2019', 'm', '10', '06-09-1979') 
 INTO PSE1.Kunde VALUES ('11' , 'Caden', 'Harris', 'Pine Street', '16', '19131', 'Lübeck', '09-09-2019', 'f', '6', '06-01-1995') 
