INSERT ALL 
 INTO PSE1.WarenkorbPosition VALUES ('0', '1', '15', '221') 
 INTO PSE1.WarenkorbPosition VALUES ('1', '1', '1857', '382') 
 INTO PSE1.WarenkorbPosition VALUES ('2', '1', '986', '141') 
 INTO PSE1.WarenkorbPosition VALUES ('3', '0', '402', '114') 
 INTO PSE1.WarenkorbPosition VALUES ('4', '0', '1812', '501') 
 INTO PSE1.WarenkorbPosition VALUES ('5', '1', '648', '237') 
 INTO PSE1.WarenkorbPosition VALUES ('6', '2', '1176', '594') 
 INTO PSE1.WarenkorbPosition VALUES ('7', '0', '1705', '593') 
 INTO PSE1.WarenkorbPosition VALUES ('8', '0', '1582', '91') 
 INTO PSE1.WarenkorbPosition VALUES ('9', '1', '1165', '128') 
 INTO PSE1.WarenkorbPosition VALUES ('10', '2', '1901', '23') 
 INTO PSE1.WarenkorbPosition VALUES ('11', '2', '647', '237') 
 INTO PSE1.WarenkorbPosition VALUES ('12', '0', '688', '497') 
 INTO PSE1.WarenkorbPosition VALUES ('13', '2', '1405', '342') 
 INTO PSE1.WarenkorbPosition VALUES ('14', '1', '1517', '289') 
 INTO PSE1.WarenkorbPosition VALUES ('15', '0', '1166', '411') 
 INTO PSE1.WarenkorbPosition VALUES ('16', '0', '475', '275') 
 INTO PSE1.WarenkorbPosition VALUES ('17', '1', '369', '418') 
 INTO PSE1.WarenkorbPosition VALUES ('18', '0', '432', '319') 
 INTO PSE1.WarenkorbPosition VALUES ('19', '2', '1653', '386') 
 INTO PSE1.WarenkorbPosition VALUES ('20', '0', '1395', '416') 
 INTO PSE1.WarenkorbPosition VALUES ('21', '1', '1945', '228') 
 INTO PSE1.WarenkorbPosition VALUES ('22', '0', '750', '192') 
 INTO PSE1.WarenkorbPosition VALUES ('23', '1', '350', '317') 
 INTO PSE1.WarenkorbPosition VALUES ('24', '0', '90', '281') 
 INTO PSE1.WarenkorbPosition VALUES ('25', '0', '1318', '128') 
 INTO PSE1.WarenkorbPosition VALUES ('26', '2', '748', '77') 
 INTO PSE1.WarenkorbPosition VALUES ('27', '0', '389', '620') 
 INTO PSE1.WarenkorbPosition VALUES ('28', '1', '1623', '606') 
 INTO PSE1.WarenkorbPosition VALUES ('29', '0', '1063', '22') 
 INTO PSE1.WarenkorbPosition VALUES ('30', '2', '305', '524') 
 INTO PSE1.WarenkorbPosition VALUES ('31', '0', '11', '411') 
 INTO PSE1.WarenkorbPosition VALUES ('32', '1', '678', '156') 
 INTO PSE1.WarenkorbPosition VALUES ('33', '1', '737', '567') 
 INTO PSE1.WarenkorbPosition VALUES ('34', '1', '910', '158') 
 INTO PSE1.WarenkorbPosition VALUES ('35', '1', '743', '251') 
 INTO PSE1.WarenkorbPosition VALUES ('36', '0', '197', '297') 
 INTO PSE1.WarenkorbPosition VALUES ('37', '1', '973', '561') 
 INTO PSE1.WarenkorbPosition VALUES ('38', '0', '1029', '269') 
 INTO PSE1.WarenkorbPosition VALUES ('39', '2', '234', '484') 
 INTO PSE1.WarenkorbPosition VALUES ('40', '0', '868', '608') 
 INTO PSE1.WarenkorbPosition VALUES ('41', '0', '860', '159') 
 INTO PSE1.WarenkorbPosition VALUES ('42', '2', '831', '390') 
 INTO PSE1.WarenkorbPosition VALUES ('43', '0', '539', '542') 
 INTO PSE1.WarenkorbPosition VALUES ('44', '0', '1693', '62') 
 INTO PSE1.WarenkorbPosition VALUES ('45', '0', '1375', '338') 
 INTO PSE1.WarenkorbPosition VALUES ('46', '0', '933', '26') 
 INTO PSE1.WarenkorbPosition VALUES ('47', '2', '105', '230') 
 INTO PSE1.WarenkorbPosition VALUES ('48', '1', '1775', '139') 
 INTO PSE1.WarenkorbPosition VALUES ('49', '1', '1957', '377') 
 INTO PSE1.WarenkorbPosition VALUES ('50', '0', '381', '196') 
 INTO PSE1.WarenkorbPosition VALUES ('51', '2', '574', '630') 
 INTO PSE1.WarenkorbPosition VALUES ('52', '1', '1047', '577') 
 INTO PSE1.WarenkorbPosition VALUES ('53', '1', '1528', '204') 
 INTO PSE1.WarenkorbPosition VALUES ('54', '0', '1045', '112') 
 INTO PSE1.WarenkorbPosition VALUES ('55', '0', '1047', '179') 
 INTO PSE1.WarenkorbPosition VALUES ('56', '2', '951', '97') 
 INTO PSE1.WarenkorbPosition VALUES ('57', '2', '222', '154') 
 INTO PSE1.WarenkorbPosition VALUES ('58', '1', '1426', '71') 
 INTO PSE1.WarenkorbPosition VALUES ('59', '0', '1479', '235') 
 INTO PSE1.WarenkorbPosition VALUES ('60', '2', '672', '365') 
 INTO PSE1.WarenkorbPosition VALUES ('61', '1', '1027', '408') 
 INTO PSE1.WarenkorbPosition VALUES ('62', '1', '1172', '569') 
 INTO PSE1.WarenkorbPosition VALUES ('63', '0', '186', '304') 
